,urgency,takeSequence,companyCount,marketCommentary,relevance,sentimentNegative,sentimentPositive,noveltyCount24H,noveltyCount3D,noveltyCount5D,noveltyCount7D,volumeCounts24H,volumeCounts3D,volumeCounts5D,volumeCounts7D,Y,sentimentProportion,takeSequency,sentimentClassPositive,sentimentClassNegative
0,3.0,1.0,39.0,1.0,0.0136641,0.562123,0.296419,6.0,6.0,6.0,6.0,36.0,39.0,39.0,55.0,-1.0,0.0345086271567892,1.0,0.0,1.0
1,3.0,1.0,9.0,1.0,0.166667,0.734072,0.0757742,0.0,0.0,0.0,0.0,6.0,44.0,44.0,51.0,-1.0,0.1661764705882353,1.0,0.0,1.0
2,3.0,1.0,2.0,1.0,0.353553,0.579937,0.196909,2.0,2.0,2.0,2.0,12.0,54.0,57.0,57.0,-1.0,0.7926829268292683,1.0,0.0,1.0
3,3.0,1.0,6.0,1.0,0.639602,0.0528384,0.779044,1.0,1.0,1.0,1.0,10.0,12.0,29.0,68.0,-1.0,0.09871244635193133,1.0,1.0,0.0
4,3.0,1.0,38.0,1.0,0.0157936,0.0130797,0.500552,2.0,2.0,2.0,9.0,12.0,23.0,36.0,78.0,-1.0,0.03359173126614987,1.0,1.0,0.0
5,3.0,1.0,12.0,1.0,0.176777,0.00780165,0.544649,3.0,3.0,3.0,3.0,17.0,33.0,35.0,55.0,1.0,0.09549795361527967,1.0,1.0,0.0
6,3.0,1.0,8.0,1.0,0.125,0.0160114,0.0589763,0.0,0.0,0.0,0.0,27.0,52.0,61.0,74.0,-1.0,0.5424528301886793,1.0,0.0,0.0
7,3.0,1.0,39.0,1.0,0.0243757,0.610439,0.246793,3.0,4.0,6.0,6.0,13.0,52.0,75.0,76.0,1.0,0.053295362082994305,1.0,0.0,1.0
8,3.0,1.0,1.0,1.0,1.0,0.818215,0.05601,3.0,3.0,3.0,3.0,7.0,8.0,49.0,74.0,1.0,0.9677996422182469,1.0,0.0,1.0
9,3.0,1.0,3.0,1.0,0.408248,0.238716,0.369333,0.0,0.0,0.0,0.0,5.0,11.0,27.0,69.0,1.0,1.0,1.0,0.0,0.0
10,3.0,1.0,3.0,1.0,0.288675,0.145167,0.684953,0.0,0.0,0.0,0.0,5.0,16.0,26.0,60.0,1.0,1.0,1.0,1.0,0.0
11,3.0,1.0,39.0,1.0,0.0153574,0.110177,0.731246,7.0,7.0,7.0,11.0,9.0,18.0,26.0,40.0,-1.0,0.048392921632358255,1.0,1.0,0.0
12,3.0,1.0,11.0,1.0,0.408248,0.164627,0.666734,0.0,0.0,0.0,0.0,3.0,17.0,29.0,30.0,1.0,1.0,1.0,1.0,0.0
13,3.0,1.0,3.0,1.0,0.0533002,0.577209,0.284096,1.0,1.0,1.0,1.0,5.0,5.0,18.0,27.0,1.0,0.08998732572877059,1.0,0.0,1.0
14,3.0,1.0,3.0,1.0,0.471405,0.0965166,0.548482,1.0,1.0,1.0,1.0,9.0,15.0,19.0,33.0,1.0,0.2492753623188406,1.0,1.0,0.0
