,urgency,takeSequence,companyCount,marketCommentary,relevance,sentimentNegative,sentimentPositive,noveltyCount24H,noveltyCount3D,noveltyCount5D,noveltyCount7D,volumeCounts24H,volumeCounts3D,volumeCounts5D,volumeCounts7D,Y,sentimentProportion,takeSequency,sentimentClassPositive,sentimentClassNegative
0,3.0,1.0,3.0,1.0,0.1283,0.0125146,0.194349,3.0,3.0,3.0,3.0,39.0,39.0,41.0,41.0,1.0,0.11171662125340599,1.0,0.0,0.0
1,3.0,1.0,3.0,1.0,0.06415,0.465087,0.377111,0.0,0.0,0.0,0.0,71.0,107.0,109.0,109.0,1.0,1.0,1.0,0.0,1.0
2,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
3,3.0,1.0,2.0,1.0,0.146735,0.197284,0.630956,4.0,4.0,9.0,9.0,4.0,4.0,108.0,112.0,1.0,0.10307692307692308,1.0,1.0,0.0
4,3.0,1.0,6.0,1.0,1.0,0.272579,0.159804,2.0,2.0,2.0,2.0,13.0,13.0,32.0,121.0,1.0,0.6094364351245085,1.0,0.0,0.0
5,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
6,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
7,3.0,1.0,1.0,1.0,1.0,0.0961575,0.746344,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.9427012278308322,1.0,1.0,0.0
8,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
9,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
10,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
11,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
12,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
13,3.0,1.0,5.0,1.0,1.0,0.0146662,0.179024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19130434782608696,1.0,0.0,0.0
14,3.0,1.0,4.0,1.0,0.129099,0.0434233,0.827362,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2508250825082508,1.0,1.0,0.0
15,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
16,3.0,2.0,7.0,1.0,0.0642824,0.0164628,0.0580315,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.1111111111111111,0.0,0.0,0.0
17,3.0,1.0,1.0,1.0,0.7698,0.0834834,0.758318,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,-1.0,0.5373134328358209,1.0,1.0,0.0
18,3.0,1.0,1.0,1.0,1.0,0.0802553,0.770484,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,1.0,0.8777506112469438,1.0,1.0,0.0
19,3.0,1.0,1.0,1.0,0.707107,0.0112247,0.2019,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,-1.0,1.0,1.0,0.0,0.0
20,3.0,1.0,1.0,1.0,1.0,0.162264,0.224016,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,1.0,0.6547619047619048,1.0,0.0,0.0
21,3.0,1.0,4.0,1.0,0.13484,0.817986,0.0561042,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,-1.0,0.07571801566579635,1.0,0.0,1.0
22,3.0,1.0,1.0,1.0,1.0,0.105386,0.73452,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,-1.0,0.8844339622641509,1.0,1.0,0.0
23,3.0,1.0,4.0,1.0,0.23355,0.0089602,0.531149,0.0,0.0,0.0,0.0,6.0,8.0,8.0,12.0,-1.0,0.27257799671592775,1.0,1.0,0.0
24,3.0,1.0,3.0,1.0,0.258199,0.146733,0.147296,0.0,0.0,0.0,0.0,4.0,10.0,10.0,11.0,-1.0,0.1774580335731415,1.0,0.0,0.0
25,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
26,3.0,1.0,1.0,1.0,1.0,0.275013,0.389029,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,-1.0,0.982532751091703,1.0,1.0,0.0
27,3.0,1.0,5.0,1.0,0.0645497,0.57644,0.284846,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,-1.0,0.12717770034843207,1.0,0.0,1.0
28,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
29,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
30,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
31,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
32,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
33,3.0,1.0,1.0,1.0,1.0,0.0705688,0.780084,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.689922480620155,1.0,1.0,0.0
34,3.0,1.0,4.0,1.0,0.26968,0.559311,0.298465,0.0,0.0,0.0,0.0,6.0,7.0,8.0,8.0,1.0,0.1602634467618002,1.0,0.0,1.0
35,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
36,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
37,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
38,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
39,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
40,3.0,2.0,7.0,1.0,0.308607,0.208057,0.448142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11542390194075587,0.0,1.0,0.0
41,3.0,1.0,1.0,1.0,1.0,0.0120882,0.19669,2.0,2.0,2.0,2.0,5.0,5.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0
42,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
43,3.0,1.0,1.0,1.0,1.0,0.155602,0.455825,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,1.0,0.9300699300699301,1.0,1.0,0.0
44,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
45,3.0,1.0,4.0,1.0,0.377964,0.637572,0.139628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0
46,3.0,1.0,1.0,1.0,1.0,0.0982619,0.746519,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.9897843359818388,1.0,1.0,0.0
47,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
48,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
49,3.0,1.0,1.0,1.0,1.0,0.136503,0.245146,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5869565217391305,1.0,0.0,0.0
50,3.0,1.0,1.0,1.0,1.0,0.082645,0.767455,2.0,2.0,2.0,2.0,12.0,13.0,14.0,15.0,1.0,0.9620853080568721,1.0,1.0,0.0
51,,,,1.0,,,,,,,,,,,,1.0,,0.0,0.0,1.0
52,3.0,1.0,1.0,1.0,1.0,0.227384,0.379906,0.0,0.0,0.0,0.0,0.0,14.0,15.0,15.0,1.0,0.8613989637305699,1.0,0.0,0.0
53,3.0,1.0,2.0,1.0,0.5,0.210609,0.616815,0.0,0.0,0.0,0.0,1.0,14.0,15.0,16.0,1.0,1.0,1.0,1.0,0.0
54,3.0,2.0,7.0,1.0,0.0465242,0.391034,0.268334,1.0,1.0,1.0,1.0,1.0,3.0,17.0,18.0,1.0,0.08903365906623235,0.0,0.0,1.0
55,3.0,1.0,1.0,1.0,0.677772,0.126104,0.711136,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,1.0,0.7145359019264448,1.0,1.0,0.0
56,3.0,2.0,6.0,1.0,0.119523,0.330526,0.498079,3.0,3.0,3.0,3.0,31.0,32.0,34.0,36.0,1.0,0.1915444348576359,0.0,1.0,0.0
57,3.0,2.0,3.0,1.0,0.0449467,0.107962,0.734046,6.0,6.0,6.0,6.0,69.0,102.0,102.0,105.0,1.0,0.07990867579908675,0.0,1.0,0.0
58,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
59,3.0,1.0,3.0,1.0,0.0671156,0.0335795,0.845386,5.0,5.0,5.0,5.0,17.0,92.0,121.0,121.0,-1.0,0.11395348837209303,1.0,1.0,0.0
60,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
61,3.0,1.0,1.0,1.0,1.0,0.117486,0.703647,0.0,0.0,0.0,0.0,3.0,3.0,21.0,124.0,-1.0,0.858902575587906,1.0,1.0,0.0
62,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
63,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
64,,,,1.0,,,,,,,,,,,,-1.0,,0.0,0.0,1.0
65,3.0,1.0,1.0,1.0,1.0,0.0815822,0.768872,0.0,0.0,0.0,0.0,6.0,6.0,6.0,10.0,1.0,0.9653401797175867,1.0,1.0,0.0
66,3.0,1.0,3.0,1.0,1.0,0.163911,0.66754,0.0,0.0,0.0,0.0,6.0,13.0,13.0,13.0,-1.0,1.0,1.0,1.0,0.0
